COEFF,DEFINITIONS,UNIT,CATEGORY,SOURCE_FILE,FILE_DESCRIPTION,DSSAT_VERSION
TDPHE,Tiller death ending stage (GrowthStage),NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
TDPHS,Tiller death start stage (GrowthStage),,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
TDSF,"Tiller death stress factor (#;0,2->no,full stress acceleration)",NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
TIFAC,Tiller initiation (rate) factor (fr of phyllochron based),#,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
TIL#S,Tiller production starts,leaf #,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
TIPHE,Tillering phase end stage (GrowthStage),NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
TKFH,Temperature at which killed when fully hardened,oC,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
VEFF,Vernalization effect (Rate reduction when unvernalized (fr),NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
WFGU,"Water stress factor,growth,upper (fr)",NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
WFPU,"Water stress factor,photosynthesis,upper (fr)",NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
TBASE,base temperature below which no development occurs,oC,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
TOPT,temperature at which maximum development rate occurs during vegetative stages,oC,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
ROPT,temperature at which maximum development rate occurs for reproductive stages,oC,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
TTOP,temperature above which no development occurs,oC,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
P2O,Daylength below which daylength does not affect development rate,hours,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
GDDE,Growing degree days per cm seed depth required for emergence,GDD/cm,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
DSGFT,GDD from End Ear Growth to Start Grain Filling period,oC,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
RUE1,Pre-anthesis radiation use efficiency,g plant dry matter/MJ PAR,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
RUE2,Post-anthesis radiation use efficiency,g plant dry matter/MJ PAR,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
KVAL1,Pre-anthesis canopy light extinction coefficient for daily PAR,NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
KVAL2,Post-anthesis canopy light extinction coefficient for daily PAR,NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
SLAP2,ratio of leaf area to mass at end of leaf growth,cm2/g,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
TC1P1,for calculating tc1: tiller number from emerg. to term. spik.(=stem elongation),NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
TC1P2,tc1 = tc1_p1 + tc1_p2 *cumph_nw(istage),NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
DTNP1,for calculating dtiln: tiller number after term. spik.(=stem elongation),NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
PLGP1,for calculating plag: potential leaf growth.  plag= plag_p1*cumph(istage)**plag_p2,NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
PLGP2,for calculating plag: potential leaf growth.  plag= plag_p1*cumph(istage)**plag_p2,NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
P2AF,threshold AD in a layer becoming effective on root growth,NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
P3AF,length of downwards root not effected under aeration deficit,NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
P4AF,days to be accumulated before aeration deficit effects root growth,days,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
P5AF,power term at af1,NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
P6AF,days to be accumulated before aeration deficit effects crop growth,days,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
ADLAI,threshold aeration deficit (AF2) affecting LAI        (set to 1.0 for no stress run),#,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
ADTIL,threshold aeration deficit (AF2) effecting tillering  (set to 1.0 for no stress run),#,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
ADPHO,threshold aeration deficit (AF2) effecting photosyn.  (set to 1.0 for no stress run),#,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
STEMN,"0=original C to grain translocation, >0 to 1.0 sets % of C of stem to be transloc. to grain",NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
MXNUP,max N uptake per day,NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
MXNCR,"0.035=20%,   .04=23% protein, max n:c ratio of grain growth",NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
WFNU,power term for water effect on N supply,NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
PNUPR,potential uptake rate,mg/meter/day,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
EXNO3,exponent for NO3 supply factor,NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
MNNO3, minimum for NO3 supply factor,NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
EXNH4,exponent for NH4 supply factor,NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
MNNH4,minimum for NH4 supply factor,NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
INGWT,initial grain weight,mg/100 grain,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
INGNC,"% protein, initial grain N conc",%,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
FREAR,"fraction between end ear and begin grainfilling, setting min stem weight for remobilisation",NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
MNNCR,"% protein, min n:c ratio of grain growth",NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
GPPSS,"gpp_start_stage - Grain per plant: 2=stem elong., 3=end leaf stage at which to start accumo. stem for gpp calc.",NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
GPPES,gpp_end_stage - Start grainfilling stage at which to end accumulation stem for Grain per plant calc,NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
MXGWT,maximum kernal weight  [100 = no effect],NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
MNRTN,min root n due to grain n initialisation [0 = off],NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
NOMOB,fraction of accum stem weight that is not mobile [0 = original],NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
RTDP1,"sw effect, 0 = old version",NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
RTDP2,"crop stress effect, 0 = old version",NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
FOZ1,"ozone effect rate on photosynthesis: 0.06 = ozone tolerant, 0.10 = intermediate, 0.50 = ozone sensitive",NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
FOZ2,"ozone effect initialization on photosynthesis (dependent on FOZ1): 1.015 = ozone tolerant, 1.025 = intermediate, 1.125 = ozone sensitive",NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
SFOZ1,"ozone effect rate on leaf senescence: 0.08 = ozone tolerant, 0.25 = intermediate, 0.40 = ozone sensitive",NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
SFOZ2,"ozone effect initialization on leaf senescence (dependent on SFOZ1): 0.80 = ozone tolerant, 0.38 = intermediate, 0.00 = ozone sensitive",NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
TSEN,Critical temperature below which leaf damage occurs (default 6°C),oC,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
CDAY,cold days parameter (default 15.0),#,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
ECONAME,"Name of the ecotype, which is referenced from *.CUL file",NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
MG,"Maturity group number for this ecotype, such as maturity group in soybean",NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
TM,Indicator of temperature adaptation,NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
THVAR,Minimum rate of reproductive development under short days and optimal temperature,NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
PL-EM,Time between planting and emergence (V0),thermal days,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
EM-V1,Time required from emergence to first true leaf (V1),thermal days,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
V1-JU,Time required from first true leaf to end of juvenile phase,thermal days,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
JU-R0,"Time required for floral induction, equal to the minimum number of days for floral induction under optimal temperature and daylengths",thermal days,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
PM06,Proportion of time between first flower and first pod for first peg (peanut only),NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
PM09,Proportion of time between first seed and physiological maturity that the last seed can be formed,NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
LNGSH,Time required for growth of individual shells,photothermal days,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
R7-R8,Time between physiological (R7) and harvest maturity (R8),days,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
FL-VS,Time from first flower to last leaf on main stem,photothermal days,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
TRIFOL,Rate of appearance of leaves on the mainstem,leaves per thermal day,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
TRIFL,Rate of appearance of leaves on the mainstem,leaves per thermal day,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
RWIDTH,Relative width of this ecotype in comparison to the standard width per node (YVSWH) defined in the species file (*.SPE),NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
RHGHT,Relative height of this ecotype in comparison to the standard height per node (YVSHT) defined in the species file (*.SPE),NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
SIZELF,"The size of a normal upper node leaf (nodes 8 - 10) of variety I, used to adjust leaf area expansion during sink-limited phase of vegetative growth",cm2/leaf,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
R1PPO,Increase in daylength sensitivity after R1,h,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
OPTBI,Minimum daily temperature above which there is no effect on slowing normal development toward flowering,oC,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
SLOBI,Slope of relationship reducing progress toward flowering if TMIN for the day is less than OPTBI,NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
XMAGE,Photothermal time required for Multi-harvest,photothermal days,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
DJTI,Minimum days from end of juvenile stage to tassel initiation if the cultivar is not photoperiod sensitive,days,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
XFPHT,Time required to reach maximum partitioning to pod/fruit,photothermal days,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
XFINT,Initial partitioning to pod/fruit during early pod/fruit growth,NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
STPC,Partitioning to stem growth as a fraction of potential leaf growth,NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
RTPC,Partitioning to root growth as a fraction of available carbohydrates,NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
TILFC,Tillering factor (0.0 no tillering; 1.0 full tillering),#,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
PLAM,Plant leaf area maximun (Initial leaf area),NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
NS_LF_TIL,Number of dry leaves to consider on canopy light transmission,#/tiller,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
N_LF_MAX_ILA,Number of leaves when leaves appear at it maximum initial area,#/tiller,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
TB0PHO,Minimum base temperature for photosynthesis,oC,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
TB1PHO,Optimum temperature for photosynthesis,oC,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
TB2PHO,Optimum temperature for photosynthesis,oC,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
TBFPHO,Maximum base temperature for photosynhesis,oC,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
TBPER,Minimum base temperature for plant expansion,oC,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
TBMAX_PER,Maximum base temperature for plant expansion,oC,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
LTTHRESHOLD,Threshold of light transmited through canopy to start tiller senescence (0-1),NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
FDEADLF,Fraction of dryied leaves blade area considered on canopy light transmission (0-1),NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
RDM,Maximum root depth,cm,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
DPERCOEFF,Maximum plant expansion rate,mm/h,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
RWUEP1,Water Stress Sensitivity of Photosynthesis,dml,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
RWUEP2,Water Stress Sensitivity of Plant Expansion,dml,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
T_MAX_WS_PHO,Supply/Demand ratio where water stress effect is maximum for photosynthesis (0-1),NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
T_MID_WS_PHO,Supply/Demand ratio where half of maximum water stress effect (0.5) for photosynthesis occurs (0-1),NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
T_MIN_WS_PHO,Supply/Demand ratio where water stress effect on photosynthesis onsets (0-1),NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
T_MAX_WS_EXP,Supply/Demand ratio where water stress effect is maximum for expansion (0-1),NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
T_MID_WS_EXP,Supply/Demand ratio where half of maximum water stress effect (0.5) for expansionoccurs (0-1),NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
T_MIN_WS_EXP,Supply/Demand ratio where water stress effect on expansion onsets (0-1),NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
FRAC_SUC_BG,Sucrose fraction of total sugars of below ground internode (0-1),NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
FRAC_HEX_BG,Hexose fraction of total sugars of below ground internode (0-1),NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
INIT_PD_RAT,Initial plant depth for ratooning cane,cm,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
IT_STR_TB_INI,Minimum base temperature for internode structural partitioning,oC,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
IT_STR_TO1,Optimum temperature for internode structural partitioning,oC,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
IT_STR_TO2,Optimum temperature for internode structural partitioning,oC,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
IT_STR_TB_END,Maximum base temperature for internode structural partioning,oC,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
IT_STR_PF_MAX,Maximum biomass partitioning fraction to structural parts of internodes (0-1),NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
IT_STR_PF_MIN,Minimum biomass partitioning fraction to structural parts of internodes (0-1),NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
IT_STR_PF_TB,Thermal time for onset of biomass partitioning to internode structural parts,oC-days,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
IT_STR_PF_TM,Thermal time where biomass partitioning to internodes structural parts is at maximum,oC-days,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
IT_STR_PF_TE,Thermal time for biomass partitioning to internodes structural parts cessation,oC-days,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
IT_STR_PF_D,Shape coefficient for biomass partitioning to internodes strucutural parts,dml,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
IT_STR_T_RED,Maximum reduction of internode structural partitioning due to temperature (0-1),NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
IT_STR_W_RED,Maximum reduction of internode structural partitioning due to water stress (0-1),NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
MAX_PER_IT,Maximum expansion rate of internodes,mm/day,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
DSWAT_DDWS,Water weight increment per unit of structural biomass gain,d[H2O]/d[STR],GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
DSWAT_DSUC,Water weight decrease per unit of sugars biomass gain,d[H2O]/d[SUG],GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
HEX_MIN,Minimum hexoses fraction of total sugars in a growing internode,g/g,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
SUC_ACC_INI,Internode total sugars concentration where sucrose accumulation onsets (0-1),NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
DSUC_FRAC_TS,Sucrose weight increment per unit of total sugars increment in internodes,d[SUC]/d[TSUG],GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
TT_CHUMAT_LT,Thermal time required after peak of population for tillering stabilization,oC-days,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
KCAN_ECO,Superseeds KCAN from .SPE file,NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
SMAX,Maximum number of stalks a variety can yield per stubble or plant,#,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
CAB,"Number of leaves in spindle cluster at top of stalk (""cabbage"").  In CASUPRO, stalk dry matter begins to accumulate only after CAB leaves have emerged",#,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
CanLmtFac,Proportion of stalk leaf area moved up each day to keep de-populated light interception zones full,NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
LfShdFac,Proportion of a stalk's new leaf area that shades (displaces to the next lower zone) leaves on other stalks,NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
MINSHD,Minimum value allowed for FRSHAV (Average of daylight fraction of ground area in plant shadow) during early growth.(0.01-0.20),NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
StkSenFrac,"Threshold maintenance respiration deficit to stalk dry weight ratio (TotalDEF(Stalk) / STKWT(DAS-1,Stalk) at which stalk death occurs",NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
SENDAY,Maximum fraction of existing leaf weight which can be senesced on a single day as a function of severe water stress 4 days earlier,NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
XDAY(6),Days after planting corresponding to observed YSLA,days,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
YSLA(6),SLA measured at XDAY days after planting,cm2/g,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
XLI(6),Light Interception fraction that controls tillering rate,NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
YVTR(6),Tillering Rate (Stalk / oC-day) (Bezuidenhout et al 2003),NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
XVSHT(10),"Node (v-stage or VS) number, reference stalk",NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
YVSHT(10),"Mature internode length, reference stalk (cm)",NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
ZVSDI(10),"Mature internode diameter, reference stalk (cm)",NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
YVSWH(10),"Canopy width per node, reference stalk (cm)",NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
XLFNUM(6),Leaf number for calculation of potential leaf area,NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
YLFSZ(6),Area corresponding to leaf number for primary stalk,cm2,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
XStkNum(8),Tiller Number for calculation of potential leaf area,#,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
YLfFac(8),Factor for calculating tiller leaf sizes based on primary or other reference leaf sizes,NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
XFRSU(4),Node # for sugar deposition TABEX function,#,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
YFRSU(4),"Max sucrose accumulation as proportion of stalk dry weight, per stalk per day according to node #.",NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
XSENMX(4),Leaf number determining SENMAX,#,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
SENMAX(4),Maximum proportion of total leaf weight as a function of LeafNum (XSENMX(I)) which can be senesced due to water stress,NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
XShdMX(4),Leaf number determining ShdMAX,#,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
ShdMAX(4),Maximum proportion of total leaf weight as a function of LeafNum (XShdMX(I)) which can be senesced due to low-light stress.,NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
XSTAGE(4),Leaf number determining SENPOR,#,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
SENPOR(4),Proportion of leaf weight grown which will have been senesced by a given LeafNun (XSTAGE(I)) if no water stress has occurred prior to this LeafNum,NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
XTMIN(4),Minimum temperature,oC,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
YLOSS(4),Proportion of live leaf weight senesced each day that minimum temp reaches corresponding XTMIN value,NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
DELTTMAX,Max. change in sucrose content per unit change in stalk mass in the unripenened section,NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
SWDF2AMP,Sucrose partitioning sensitivity to water stress parameter,NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
CS_CNREDUC,Canopy reduction due to water stress,NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
CS_CNPERIOD,Canopy water stress period,days,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
Tthalfa,Half canopy thermal time adjustment for row width ,NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
DPERdT,Change in plant extension rate (mm/h) per unit change in temperature,oC,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
EXTCFN,Maximum canopy light extinction coefficient,NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
EXTCFST,Minimum canopy light extinction coefficient ,NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
LFNMXEXT,Leaf number (including dead leaves still attached) at which maximum light extinction occurs,#,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
AREAMX_CF(1),Cultivar parameter for quadratic equation defining maximum leaf area,NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
AREAMX_CF(2),Cultivar parameter for quadratic equation defining maximum leaf area,NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
AREAMX_CF(3),Cultivar parameter for quadratic equation defining maximum leaf area,NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
WIDCOR,Parameter affecting the width of leaves,NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
WMAX_CF(1),Cultivar parameter for quadratic equation defining leaf width,NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
